countrycode,"population,participation","public,freedom_civil,society","stability,of,political,system","Domestic,public,security","Functioning,of,justice,system","social,inclusion","geographic,coverage,of,public,services","institutional,solidarity","Traditional,solidarity","Micro,lending","Existence/absence,of,labour,legislation,and,measures","weak,employment,contract,rigisity,,,,,,,,,,,,"
LAO,1,"0,95","3,01","3,01","1,00","2,75","2,00","0,63","3,48","2,00","3,04","2,62"
LBN,"2,35","3,44","2,68","2,67","1,00","1,51","2,31","0,94","3,76","2,00","3,00","2,36"
LBY,"2,65","0,87","3,05","3,65","1,52","2,01","1,96","2,53","2,96","0,00","4,00","1,30"
LKA,"2,69","2,44","3,69","2,15","2,51","2,52","2,31","2,26","3,76","2,00","1,48","2,32"
LTU,"3,35","3,42","4,00","3,76","3,00","3,51","3,31","3,63","3,50","2,00","4,00","1,64"
LVA,"2,35","3,42","4,00","3,62","2,77","3,75","3,00",4,"3,50","2,00","3,52","1,64"
MAR,"1,66","2,15","3,69","2,86","1,77","2,74","2,36","1,26","3,24","2,00","1,48","2,0"
MDG,2,"2,57","1,94","2,99","1,77","2,51","2,59","0,63","3,24","3,00","2,04","2,36"
MEX,"2,66","2,64","3,37","2,62","2,28","2,74","3,00","1,32","3,24","2,00","3,00","1,30"
MLI,"1,65","3,02","3,69","2,54","1,27","2,25","1,63","0,95","2,98","1,00","1,52","1,98"
MLT,"2,31","3,85","4,00","3,76","3,30",3,"2,63",4,"3,50","1,00","4,00","1,98"
MNG,"1,35","1,95","2,43","3,35","2,48","3,26","3,00",1,"2,72","3,00","1,00","3,64"
MOZ,2,"2,95","3,37","3,39","1,77","3,25","2,64","0,63","3,24","2,00","2,48","1,72"
MRT,2,"2,01","1,37","2,40","1,27","1,75","2,00","0,63","2,98","1,00","1,48","2,28"
MUS,"2,03","3,06","4,00","3,49","3,26","2,74","2,99","2,9","3,24","1,00","2,96","1,64"
MYS,"2,35","1,79","4,00","3,39","2,25","2,51","3,68","2,26","3,24","1,00","1,91","2,94"
NAM,1,"2,85","3,37","2,74","2,51","2,51","1,31",0,"2,74","2,00","2,52","2,70"
NER,"0,69","2,44","3,69","2,44","1,73","2,24","1,31","0,63","2,48","1,00","1,48","2,30"
NGA,2,"2,01","3,68","1,00","1,52","2,25","1,64","0,31","2,50","1,00","2,52","2,28"
NIC,"2,34","2,43","2,69","2,77","2,00",3,"3,00","0,63","3,00","1,00","2,52","2,36"
NLD,"3,66","4,00","4,00","3,89","4,00","3,51","3,69",4,"1,50","1,00","4,00","1,64"
NOR,4,"4,00","4,00","3,75","3,52","3,26","4,00",4,"1,76","0,00","4,00","2,72"
