,data [km³/y]
ATG,0
DZA,109.947872
AZE,12.64907587
ALB,11.50215046
ARM,5.274903757
AGO,410.4800256
ASM,0
ARG,516.5018236
AUS,1234.529396
BHR,0
BRB,0
BMU,0
BHS,1.285770186
BGD,204.537907
BLZ,10.49899206
BIH,18.9690433
BOL,761.4594561
MMR,972.584621
BEN,42.44783383
SLB,31.44755788
BRA,7269.122363
BGR,6.743590596
BRN,5.634548687
CAN,3827.360994
KHM,170.4285785
LKA,61.26421487
COG,279.1881978
COD,1080.683468
BDI,7.529012251
CHN,2490.838998
AFG,114.613449
BTN,63.91411276
CHL,460.6590642
CYM,0
CMR,399.1657219
TCD,150.5985461
COM,5.331619443
COL,2078.793197
CRI,116.8238765
CAF,299.4235424
CUB,32.62231985
CPV,0
COK,0
CYP,1.008887044
DNK,28.15899467
DJI,4.275657096
DMA,0
DOM,7.29544709
ECU,217.5633287
EGY,9.901699294
IRL,64.45463801
GNQ,79.38388314
EST,16.29494323
ERI,22.34907426
SLV,13.9150852
ETH,459.2673503
AUT,30.20680076
CZE,12.13859924
GUF,59.4770805
FIN,125.0295257
FJI,15.10829848
FLK,1.609162524
FSM,0
PYF,1.502266545
FRA,188.3833557
GMB,0.440687749
GAB,574.2384833
GEO,40.91137367
GHA,60.17392166
GRD,0
GRL,649.4265825
DEU,115.8666656
GUM,0
GRC,27.07453001
GTM,92.27675458
GIN,191.934729
GUY,157.6055096
HTI,11.88844745
HND,71.87560741
HRV,14.85831537
HUN,7.51074636
ISL,110.125644
IND,2743.431809
IRN,205.7201511
ISR,1.009324735
ITA,102.3992084
CIV,153.003991
IRQ,34.73289017
JPN,407.766043
JAM,5.699401637
JOR,1.808713638
KEN,150.6317735
KGZ,38.51372031
PRK,64.56666972
KIR,2.809194439
KOR,73.81773264
KWT,1.709982182
KAZ,143.2770084
LAO,176.46828
LBN,2.483768199
LVA,23.91971071
BLR,26.56772055
LTU,18.76449366
LBR,174.1671499
SVK,6.128394786
LIE,0
LBY,72.90413339
MDG,478.3349066
MTQ,0
MNG,74.92850428
MSR,0
MKD,3.749925591
MLI,89.93197697
MAR,21.33172152
MUS,0
MRT,31.78435127
MLT,0
OMN,36.74394705
MDV,0
MEX,583.507996
MYS,508.8215988
MOZ,428.3432787
MWI,57.41737383
NCL,8.00032761
NIU,0
NER,96.50997963
ABW,0
AIA,0
BEL,14.90124428
HKG,0
MNP,0
FRO,0
AND,0
GIB,0
IMN,0
LUX,0.572778256
MAC,0
MCO,0
PSE,0.939578423
MNE,10.09971598
MYT,0
ALA,0.461906727
NFK,0
CCK,0
ATA,0
BVT,0
ATF,3.421101176
HMD,0
IOT,0
CXR,0
UMI,0
VUT,10.77375741
NGA,515.8070542
NLD,14.8835618
NOR,356.948089
NPL,209.3495538
NRU,0
SUR,61.34676262
NIC,131.5881248
NZL,234.4532929
PRY,145.3348547
PER,849.7646666
PAK,144.9199699
POL,61.33756992
PAN,96.4674373
PRT,17.42730834
PNG,792.4754479
GNB,22.02732867
QAT,0.282911533
REU,0
ROU,14.12631411
MDA,1.710285079
PHL,417.2065416
PRI,2.912405396
RUS,5646.90085
RWA,4.47102594
SAU,137.1428737
KNA,0
SYC,0
ZAF,95.84961788
LSO,3.629799927
BWA,20.63003717
SEN,25.09422486
SVN,9.959254841
SLE,128.4431206
SGP,0
SOM,162.0690614
ESP,65.81016992
LCA,0
SDN,177.0807581
SWE,212.3521086
SYR,8.117667762
CHE,26.83015464
TTO,0.860837182
THA,270.6729558
TJK,52.43320146
TKL,0
TON,0
TGO,21.58010474
STP,0
TUN,10.47605907
TUR,115.8027706
TUV,0
TKM,41.49809357
TZA,307.6907888
UGA,106.093073
GBR,182.2017607
UKR,46.48051523
USA,3161.616371
BFA,56.37933035
URY,102.1902344
UZB,36.8653023
VCT,0.883124578
VEN,669.1584959
VGB,0
VNM,344.5806142
VIR,1.376995714
NAM,37.27864045
WLF,0
WSM,4.240749049
SWZ,3.891598358
YEM,77.69956368
ZMB,178.1327918
ZWE,75.90242764
IDN,2551.988398
GLP,0.966525204
ANT,0
ARE,3.456121288
TLS,3.376248336
PCN,0
PLW,0
MHL,0
SPM,0
SHN,0
SMR,0
TCA,0
ESH,2.979608932
SRB,6.680686591
VAT,0
SJM,48.45998218
MAF,0
BLM,0
GGY,0
JEY,0
SGS,9.016637218
TWN,44.42443052
