,data [km³/y]
ATG,0
DZA,33.15865865
AZE,7.43749092
ALB,17.64022446
ARM,4.077911628
AGO,370.7748177
ASM,0
ARG,603.8798032
AUS,1046.081889
BHR,0
BRB,0
BMU,0
BHS,0.804975544
BGD,176.1823011
BLZ,7.794777082
BIH,29.85392209
BOL,405.2369039
MMR,1011.799301
BEN,45.58295335
SLB,22.02927121
BRA,5978.17017
BGR,16.5173703
BRN,6.73285854
CAN,4338.446507
KHM,174.0017483
LKA,64.70593717
COG,218.2347502
COD,1142.505821
BDI,7.708241569
CHN,2247.157961
AFG,74.87700946
BTN,39.4090098
CHL,447.6211745
CYM,0
CMR,402.4788936
TCD,144.2370233
COM,3.654528381
COL,2107.365336
CRI,91.44771133
CAF,316.5649165
CUB,24.03618446
CPV,0
COK,0
CYP,1.569068403
DNK,26.65612025
DJI,2.63966279
DMA,0
DOM,5.772726983
ECU,319.948241
EGY,-0.813904105
IRL,67.15598567
GNQ,53.8548109
EST,18.52976778
ERI,26.48313298
SLV,11.7965878
ETH,382.4200785
AUT,39.66303521
CZE,15.55191006
GUF,49.54661604
FIN,145.9799628
FJI,12.41051629
FLK,1.67698927
FSM,0
PYF,1.844736512
FRA,213.9468414
GMB,-1.18E-05
GAB,412.3973272
GEO,43.81055382
GHA,59.78246497
GRD,0
GRL,803.3686666
DEU,118.6412655
GUM,0
GRC,42.55415036
GTM,92.20949245
GIN,192.4665368
GUY,98.92316695
HTI,9.241729374
HND,50.40891087
HRV,22.97840766
HUN,11.96001101
ISL,103.8324582
IND,2073.093633
IRN,138.4611793
ISR,1.150808792
ITA,124.0872735
CIV,139.7489093
IRQ,24.16862979
JPN,439.3865103
JAM,2.569172802
JOR,1.829683724
KEN,95.27726054
KGZ,41.53091635
PRK,47.32344938
KIR,2.571506441
KOR,63.50912302
KWT,1.191538705
KAZ,153.1681812
LAO,159.6282516
LBN,3.556834358
LVA,27.44682084
BLR,38.38820399
LTU,22.36808001
LBR,163.3157474
SVK,9.421213519
LIE,0
LBY,22.03918387
MDG,435.2874598
MTQ,0
MNG,54.46729513
MSR,0
MKD,7.069951372
MLI,20.1654331
MAR,20.61326999
MUS,0
MRT,16.86802715
MLT,0
OMN,8.116465595
MDV,0
MEX,404.2787987
MYS,605.2169607
MOZ,276.3472351
MWI,39.66833504
NCL,4.803882866
NIU,0
NER,44.97118458
ABW,0
AIA,0
BEL,15.02288174
HKG,0
MNP,0
FRO,0
AND,0
GIB,0
IMN,0
LUX,0.592239945
MAC,0
MCO,0
PSE,0.975900532
MNE,14.89466288
MYT,0
ALA,0.499246786
NFK,0
CCK,0
ATA,0
BVT,0
ATF,3.705621275
HMD,0
IOT,0
CXR,0
UMI,0
VUT,8.003537363
NGA,476.0061396
NLD,14.44964878
NOR,349.012643
NPL,144.9291225
NRU,0
SUR,36.43650563
NIC,91.9532504
NZL,280.9080125
PRY,114.731851
PER,861.1782248
PAK,75.61910749
POL,73.97644441
PAN,78.3336031
PRT,26.66326978
PNG,739.9942513
GNB,18.06935135
QAT,0.045713153
REU,0
ROU,29.32142156
MDA,3.404083394
PHL,366.0665734
PRI,2.465166206
RUS,5750.093166
RWA,4.493614614
SAU,54.18372307
KNA,0
SYC,0
ZAF,57.63498017
LSO,2.810450566
BWA,-2.30083039
SEN,17.49704421
SVN,13.63364197
SLE,139.0747575
SGP,0
SOM,63.01747899
ESP,97.05615032
LCA,0
SDN,208.2703192
SWE,222.8835885
SYR,12.82875725
CHE,29.110206
TTO,0.392850013
THA,277.7822458
TJK,45.36739457
TKL,0
TON,0
TGO,22.22953713
STP,0
TUN,6.890184821
TUR,185.6271059
TUV,0
TKM,34.3751234
TZA,242.3106427
UGA,119.0914182
GBR,189.5603547
UKR,81.81921194
USA,3340.965067
BFA,47.32060639
URY,123.9902156
UZB,36.15521091
VCT,0.421590153
VEN,566.0361479
VGB,0
VNM,316.9490716
VIR,0.91912058
NAM,19.6678986
WLF,0
WSM,5.115901008
SWZ,2.092070111
YEM,38.93207093
ZMB,114.3616151
ZWE,34.96701987
IDN,2711.905866
GLP,0.63060619
ANT,0
ARE,0.699490197
TLS,2.399166845
PCN,0
PLW,0
MHL,0
SPM,0
SHN,0
SMR,0
TCA,0
ESH,1.893128264
SRB,15.57659434
VAT,0
SJM,26.70419167
MAF,0
BLM,0
GGY,0
JEY,0
SGS,9.100810489
TWN,41.69272954
