,data [km³/y]
ATG,0
DZA,42.95013869
AZE,9.804118372
ALB,13.48637841
ARM,4.392107528
AGO,335.3599802
ASM,0
ARG,264.5926098
AUS,1193.19003
BHR,0
BRB,0
BMU,0
BHS,1.006870053
BGD,106.7111309
BLZ,1.192607443
BIH,24.09693498
BOL,313.0287905
MMR,790.2480069
BEN,3.711440059
SLB,43.46121987
BRA,7340.971307
BGR,8.846337023
BRN,7.024415034
CAN,3652.104687
KHM,123.3184108
LKA,61.53130432
COG,138.1817713
COD,482.7494161
BDI,8.345841517
CHN,2111.394901
AFG,120.1654309
BTN,28.95802948
CHL,464.8818407
CYM,0
CMR,190.058305
TCD,-13.48366399
COM,4.853203602
COL,2444.624487
CRI,30.39117264
CAF,71.4233341
CUB,11.66951303
CPV,0
COK,0
CYP,1.660484842
DNK,23.32681653
DJI,1.000169509
DMA,0
DOM,5.012977772
ECU,399.1119532
EGY,-4.071504942
IRL,56.5437888
GNQ,48.67819765
EST,15.2263953
ERI,3.5119285
SLV,2.450848078
ETH,243.2304384
AUT,39.42414873
CZE,12.95537112
GUF,82.93777735
FIN,95.66424111
FJI,17.40930955
FLK,1.965483407
FSM,0
PYF,2.419079873
FRA,194.8235547
GMB,-0.219944218
GAB,372.6478791
GEO,38.87619949
GHA,5.493758675
GRD,0
GRL,771.3354292
DEU,95.91126371
GUM,0
GRC,35.35251683
GTM,26.35824381
GIN,49.39600176
GUY,148.4109332
HTI,9.136729039
HND,11.4480628
HRV,20.75819815
HUN,9.172188357
ISL,92.68091228
IND,1373.606077
IRN,190.7564655
ISR,0.697140243
ITA,142.6226943
CIV,26.24975799
IRQ,9.424508575
JPN,347.4387247
JAM,1.512915211
JOR,1.148701119
KEN,143.7416409
KGZ,42.87513811
PRK,63.28564057
KIR,1.972210095
KOR,65.24629674
KWT,1.061899083
KAZ,128.1268463
LAO,138.7061458
LBN,3.170879569
LVA,21.33100102
BLR,27.77572871
LTU,17.65619109
LBR,52.01803733
SVK,8.612721981
LIE,0
LBY,19.39232155
MDG,531.0086945
MTQ,0
MNG,86.69400101
MSR,0
MKD,4.470271421
MLI,-4.267044878
MAR,53.87186749
MUS,0
MRT,-2.62778871
MLT,0
OMN,12.10804647
MDV,0
MEX,121.7724403
MYS,644.8158904
MOZ,326.4634088
MWI,46.92068612
NCL,8.946019893
NIU,0
NER,0.058076181
ABW,0
AIA,0
BEL,11.66154885
HKG,0
MNP,0
FRO,0
AND,0
GIB,0
IMN,0
LUX,0.455888566
MAC,0
MCO,0
PSE,0.889002312
MNE,11.50170705
MYT,0
ALA,0.405500678
NFK,0
CCK,0
ATA,0
BVT,0
ATF,3.891994186
HMD,0
IOT,0
CXR,0
UMI,0
VUT,13.15025404
NGA,101.6285557
NLD,10.39955602
NOR,333.5269722
NPL,98.40698683
NRU,0
SUR,74.24378565
NIC,19.74069696
NZL,305.5808596
PRY,56.79420814
PER,1000.365666
PAK,93.58541514
POL,64.96142223
PAN,33.78827988
PRT,34.52597763
PNG,1387.71184
GNB,7.480702228
QAT,0.253575571
REU,0
ROU,15.0960474
MDA,2.532973305
PHL,476.7053413
PRI,0.8284167
RUS,4522.439411
RWA,4.842632099
SAU,43.8089392
KNA,0
SYC,0
ZAF,86.41357588
LSO,3.323140702
BWA,15.93335447
SEN,1.561292474
SVN,13.83301886
SLE,22.94082463
SGP,0
SOM,28.3794565
ESP,116.9278375
LCA,0
SDN,-24.78368822
SWE,178.0917573
SYR,8.710503535
CHE,32.28767465
TTO,0.03290755
THA,218.7980721
TJK,47.61594722
TKL,0
TON,0
TGO,1.880505513
STP,0
TUN,6.564223316
TUR,117.2366246
TUV,0
TKM,36.96539132
TZA,297.6802303
UGA,113.2038992
GBR,161.7364749
UKR,63.92048835
USA,2699.286437
BFA,3.199422759
URY,76.16698385
UZB,29.56211209
VCT,0.012221443
VEN,458.7977683
VGB,0
VNM,279.2817862
VIR,0.724237783
NAM,19.8367747
WLF,0
WSM,7.373195024
SWZ,2.274980779
YEM,10.84419002
ZMB,111.9480912
ZWE,47.1660386
IDN,3829.560528
GLP,0.073720634
ANT,0
ARE,2.174721027
TLS,5.345646148
PCN,0
PLW,0
MHL,0
SPM,0
SHN,0
SMR,0
TCA,0
ESH,1.342202086
SRB,7.776164574
VAT,0
SJM,27.74664323
MAF,0
BLM,0
GGY,0
JEY,0
SGS,10.22341375
TWN,35.58488878
