,data [km³/y]
ATG,0
DZA,49.60919792
AZE,10.40007721
ALB,16.17043551
ARM,4.851038051
AGO,329.6969573
ASM,0
ARG,334.5992376
AUS,1060.601814
BHR,0
BRB,0
BMU,0
BHS,1.376016101
BGD,96.66444316
BLZ,3.458068608
BIH,26.53684243
BOL,312.044446
MMR,805.6594064
BEN,5.992440105
SLB,35.64510831
BRA,6405.078383
BGR,13.0950205
BRN,5.736052156
CAN,3312.147417
KHM,123.7392557
LKA,35.34783623
COG,145.699828
COD,517.6973457
BDI,6.817002309
CHN,1989.457036
AFG,123.5542379
BTN,27.43200571
CHL,495.3225913
CYM,0
CMR,195.5482909
TCD,-12.21225178
COM,4.106076522
COL,2162.459233
CRI,51.15800672
CAF,89.24185167
CUB,17.34343543
CPV,0
COK,0
CYP,1.987342811
DNK,22.81518022
DJI,1.305518793
DMA,0
DOM,4.168308835
ECU,308.1239361
EGY,-4.242644686
IRL,57.51630015
GNQ,46.8068615
EST,14.27661599
ERI,4.339765139
SLV,4.57160877
ETH,224.462434
AUT,38.54377234
CZE,11.74676029
GUF,79.54587708
FIN,85.79790163
FJI,15.85000927
FLK,2.213295375
FSM,0
PYF,2.018662306
FRA,197.6695754
GMB,-0.324785247
GAB,354.1111111
GEO,44.14760952
GHA,8.813805624
GRD,0
GRL,575.540303
DEU,89.13818745
GUM,0
GRC,44.86271135
GTM,41.9464044
GIN,62.88315377
GUY,155.5181319
HTI,6.880551773
HND,22.84343899
HRV,20.69423453
HUN,9.634855345
ISL,93.58021504
IND,1249.247575
IRN,203.312554
ISR,1.354352756
ITA,138.5498454
CIV,33.6295285
IRQ,18.88953502
JPN,376.9422419
JAM,1.562998453
JOR,1.453302787
KEN,83.2659348
KGZ,44.75060361
PRK,59.44184394
KIR,1.715649666
KOR,76.02844534
KWT,1.396210412
KAZ,113.6511641
LAO,126.1510966
LBN,3.753681257
LVA,20.11276793
BLR,23.1684165
LTU,16.34010968
LBR,65.48718753
SVK,9.019236238
LIE,0
LBY,23.02496423
MDG,424.0727571
MTQ,0
MNG,70.09907263
MSR,0
MKD,6.127206052
MLI,-7.006880104
MAR,53.677784
MUS,0
MRT,-3.974006472
MLT,0
OMN,9.016876502
MDV,0
MEX,204.118569
MYS,514.185591
MOZ,288.213888
MWI,38.13486102
NCL,7.864204705
NIU,0
NER,0.626870428
ABW,0
AIA,0
BEL,11.5985862
HKG,0
MNP,0
FRO,0
AND,0
GIB,0
IMN,0
LUX,0.447637289
MAC,0
MCO,0
PSE,1.214633063
MNE,13.4274927
MYT,0
ALA,0.399518345
NFK,0
CCK,0
ATA,0
BVT,0
ATF,3.505788149
HMD,0
IOT,0
CXR,0
UMI,0
VUT,11.85937311
NGA,134.4233128
NLD,10.51433354
NOR,318.4461243
NPL,97.36596137
NRU,0
SUR,75.37551039
NIC,40.02222714
NZL,296.6416
PRY,65.0270414
PER,829.4324896
PAK,88.54696525
POL,60.4293693
PAN,50.25757158
PRT,35.83789267
PNG,1067.289339
GNB,8.565304949
QAT,0.258017747
REU,0
ROU,19.92751476
MDA,2.559306104
PHL,445.5241121
PRI,1.438578704
RUS,4030.167933
RWA,3.462625021
SAU,55.00702638
KNA,0
SYC,0
ZAF,97.85555006
LSO,3.769876226
BWA,25.35685432
SEN,2.249670675
SVN,13.26576436
SLE,34.54486221
SGP,0
SOM,23.45489646
ESP,119.5582137
LCA,0
SDN,-12.64940957
SWE,157.9946297
SYR,12.68757263
CHE,31.64247322
TTO,0.135763663
THA,197.9386203
TJK,48.50595399
TKL,0
TON,0
TGO,3.24574033
STP,0
TUN,7.359860665
TUR,178.5606525
TUV,0
TKM,35.59669803
TZA,208.0497158
UGA,104.1684983
GBR,157.9124547
UKR,64.1864009
USA,2691.574884
BFA,4.377020414
URY,85.25322783
UZB,32.53514605
VCT,0.10031022
VEN,517.1114032
VGB,0
VNM,264.7129114
VIR,1.071515589
NAM,20.78439626
WLF,0
WSM,6.936545189
SWZ,2.529261561
YEM,13.83566622
ZMB,113.0510813
ZWE,74.59260071
IDN,3080.863114
GLP,0.216539775
ANT,0
ARE,0.918952641
TLS,3.480764781
PCN,0
PLW,0
MHL,0
SPM,0
SHN,0
SMR,0
TCA,0
ESH,2.278014115
SRB,10.72313321
VAT,0
SJM,27.85269791
MAF,0
BLM,0
GGY,0
JEY,0
SGS,9.507821117
TWN,38.78104936
