Name_A2;1990;1995;2000;2005;2010;2015;2020;2025;2030;2035;2040;2045;2050;2055;2060;2065;2070;2075;2080;2085;2090;2095;2100
Madagascar;12232565;14128478;16715885;19718586;22872419;26141602;29540127;32988045;36312972;39302906;42080988;44437925;46629895;48842800;50734439;52279877;53443750;54176724;54457976;54269426;53879016;53244110;52381845
Malawi;9651530;10268236;11832847;13457887;15115399;16866450;18745625;20701215;22664308;24547633;26481422;28353250;30064017;31312121;32337787;33130529;33674057;33936279;33910971;33587970;33168523;32629906;31975768
Mali;8980887;10161972;11894767;13921417;16230673;18848494;21629822;24569295;27624351;30680678;33847128;36893591;39633740;41260427;42597859;43631104;44342968;44696614;44674602;44259077;43727351;43044577;42215026
Mauritania;2038425;2330611;2788144;3268391;3812305;4389693;5012444;5637124;6241045;6797738;7320940;7756240;8152211;8533348;8857513;9121498;9319208;9442576;9487354;9449039;9374881;9258407;9103512
Mauritius;1081072;1141466;1210975;1288616;1363231;1426368;1471011;1493694;1497515;1484545;1463978;1438096;1408317;1506809;1600277;1686962;1766572;1834403;1888877;1928153;1956610;1973642;1978553
Mozambique;13959795;16694590;19138506;21394261;23450400;25544279;27781641;30068092;32234963;34115235;35805510;37171905;38448909;40218653;41714332;42917173;43799823;44321223;44470544;44237277;43840527;43246992;42471048
Namibia;1406471;1623377;1836110;2049333;2277945;2524311;2775782;3005696;3192865;3325114;3443297;3565737;3683679;3869661;4031874;4167674;4274169;4347040;4383822;4382773;4364682;4326710;4268275
Niger;7885282;9333923;11354203;13750839;16562611;19705186;23150386;26898551;30901580;35058307;39577313;44255952;48990927;50789533;52201009;53220049;53828776;53984609;53676039;52888240;52027200;51024439;49870903
Nigeria;87938553;101697492;119057084;138290655;158174842;178136147;197714212;215985318;231655222;243349618;254023919;265010517;275654795;289333393;301159296;311004482;318643517;323750831;326177429;325796103;324172071;321034932;316371799
Réunion;617945;679005;753139;821917;879482;927283;964803;990658;1004685;1006571;1002691;993827;981057;1049548;1115219;1176761;1232616;1281085;1320537;1349523;1371222;1384826;1390069
Rwanda;6922530;5094802;7946855;8986052;10098032;11236122;12389964;13519983;14600133;15558311;16419078;17092122;17678128;18510220;19219876;19800125;20234586;20504208;20602734;20522181;20362011;20108529;19771958
Senegal;7495799;8500470;9841645;11352371;12930389;14506680;16048505;17471468;18700613;19635313;20496645;21359099;22169427;23314893;24312966;25148244;25805349;26257285;26489343;26491984;26389719;26162440;25809003
Sierra Leone;4154841;4181786;4612166;5848535;6692715;7590957;8525653;9488268;10452115;11367423;12268378;13083076;13765047;14348970;14831447;15207106;15468319;15602290;15604377;15469053;15284984;15042325;14745247
Somalia;7328178;7528486;9202124;11476541;13914187;16402404;19146411;22150516;25309316;28527665;31926012;35362363;38765346;40254614;41446496;42334304;42898289;43103183;42939319;42394708;41770009;41014731;40128884
South Africa;37216436;40950268;45142077;47983972;48938238;48889053;48546686;48390600;48320528;48239337;48423208;48893588;49708226;52308417;54613778;56596360;58188679;59338026;60032048;60235483;60197712;59854571;59216438
Swaziland;787129;855146;965557;1028070;1057462;1095302;1148005;1202852;1247437;1275670;1301868;1331267;1361776;1427560;1484246;1530763;1566208;1588998;1598514;1594291;1584357;1567554;1543654
Togo;3532476;3937184;4732800;5472779;6250771;7050752;7867266;8664841;9390139;9997564;10510554;10964430;11423058;11987924;12477077;12883369;13198050;13407265;13504865;13485764;13414895;13280205;13084055
Uganda;17643035;20597882;24406331;28924786;34707625;41332929;48585576;56380640;64564110;72806656;81369809;89591339;97114508;100887763;103917290;106180132;107634049;108190042;107821421;106491060;104907796;102988586;100745128
United Republic of Tanzania;26644840;31599796;36688171;42280127;47929635;53903446;59852792;65452127;70276398;73928718;77192610;80382376;83304923;87559656;91263193;94367825;96793482;98454889;99301181;99298504;98901554;98033098;96691744
Zambia;8234465;9438927;10899652;12360118;14024906;15980712;18092862;20257043;22331122;24195431;25945038;27436667;28604536;29886165;30963374;31823938;32448459;32807498;32887003;32678488;32351326;31891313;31306770
Zimbabwe;10477388;11744717;13184744;14734848;16322660;17886872;19297955;20401361;21295186;22110352;22897418;23583564;24179271;25417859;26492182;27385867;28083496;28561023;28805062;28803309;28684564;28433946;28056862
Algeria;24921976;27672224;31134108;34897382;38868884;42939178;47255890;51856226;56743211;61827772;66962560;72175293;77445183;84562033;91784136;99022583;106179707;113094103;119606522;125564915;131428276;137090188;142436687
Bahrain;491270;571845;651496;727608;801507;878863;960821;1045748;1130794;1215859;1302261;1394467;1493946;1634931;1778786;1923275;2066365;2204504;2336887;2461096;2584141;2702561;2814110
Egypt;56374583;62018827;69742295;78349928;87496668;96606278;106377780;116957620;128510078;140725565;153105875;165790392;178820209;195045360;211554196;228077232;244298123;259853700;274449979;287722408;300788297;313356714;325161576
Iran (Islamic Republic of);58592167;64628829;72013693;79225473;87694061;98393512;109763729;121182320;132666122;144726133;157590364;171233020;185040770;201843616;219094839;236500899;253446099;269657282;284877947;298827974;312652727;326001338;338513127
Iraq;17317192;20059852;23798257;28301594;33298440;38500667;43885458;49488992;55081322;60851885;67107266;73699064;80433466;87622590;94893571;102105353;109135235;115855984;122087704;127674105;133142687;138373299;143240040
Israel;4525842;5333891;6198680;7060707;7878981;8620418;9325198;10116275;11008442;11968256;12937149;13917970;14935538;16332097;17746416;19161812;20569765;21949002;23258964;24468220;25664316;26825644;27932093
Jordan;3262757;4252991;5097885;6124543;7229130;8360012;9536387;10807452;12166145;13541958;15012857;16529093;18064912;19675696;21292950;22895690;24460911;25960590;27351244;28590773;29799618;30956133;32037190
Kuwait;2148768;1682938;1938442;2267564;2671303;3100779;3503875;3876911;4260712;4693468;5167565;5655398;6128594;6676572;7246499;7828783;8407678;8956277;9463908;9934228;10406994;10869995;11308165
Lebanon;2720768;3173119;3578329;3958141;4318837;4666967;5027261;5395886;5769463;6140336;6498609;6846256;7181382;7865376;8567154;9270912;9966718;10651040;11310718;11924149;12526261;13106759;13657172
Libyan Arab Jamahiriya;4322540;4749417;5435553;6244192;7127862;7959121;8761630;9651657;10655300;11737125;12825383;13900713;14979447;16338614;17709877;19099676;20472600;21797512;23036141;24158740;25264312;26333687;27344812
Morocco;24690705;27236826;30735152;34817311;38951588;42887059;46871004;51339083;56329994;61621630;66867145;72074130;77341499;84415159;91565160;98704765;105756749;112573136;118973560;124787184;130486388;135968337;141139697
Occupied Palestinian Territory;2160263;2641447;3341026;4182190;5153932;6266380;7561401;9089660;10845338;12741559;14669837;16584918;18423561;19991876;21555051;23078929;24538800;25904643;27137275;28201346;29223507;30189288;31084946
Oman;1789311;2155242;2633490;3221474;3931716;4754149;5682375;6746875;7968830;9308228;10680292;12033811;13423070;14562338;15701990;16817574;17885919;18880327;19778299;20554630;21308621;22021909;22683023
Qatar;454407;510200;575690;633457;693065;753565;813074;872900;935698;1001380;1070070;1144291;1226297;1339444;1454953;1570446;1682820;1791071;1894545;1990297;2084260;2174062;2258382
Saudi Arabia;15441879;17099929;21095048;25630451;30870139;36730901;43211692;50385482;58176476;66301024;74378194;82261868;90689440;98667249;106690749;114589110;122266355;129521979;136173143;142061277;147788384;153193438;158183726
Sudan;24885121;27987491;32227055;37724676;43420400;49268041;55419784;61949608;68667437;75691342;83234384;91093129;99107978;107932713;116788232;125553155;134091510;142234349;149757425;156453889;162983692;169214649;175010347
Syrian Arab Republic;12419305;14238829;16728290;19788086;23228287;26840334;30437571;34000510;37836403;42166825;46735635;51346603;55837007;60823210;65901288;70974789;75941712;80683220;85092485;89068998;92968056;96719072;100241150
Tunisia;8177807;8953094;9659834;10605558;11663355;12775715;13910657;15055272;16240009;17500803;18819973;20186199;21552972;23531799;25551893;27587565;29606426;31557364;33398007;35087354;36757404;38377405;39912345
United Arab Emirates;2019641;2339737;2638575;2932777;3229164;3501551;3751595;3995098;4248827;4519394;4800008;5095966;5412984;5915143;6434314;6959188;7477385;7980543;8456273;8901204;9349178;9784736;10197400
Western Sahara;178609;213164;260567;314190;369581;424873;482758;546629;616545;691796;770664;852597;937338;1021358;1105278;1188518;1270292;1348779;1421387;1486007;1549101;1609548;1666072
Yemen;11620738;14951109;19326537;24526198;30992599;38984127;48942422;61496318;76848361;94734682;114668503;136505753;159755291;172397284;184756626;196579730;207604039;217558139;226146420;233080851;240002609;246700316;252965741
