Name_A2;1990;1995;2000;2005;2010;2015;2020;2025;2030;2035;2040;2045;2050;2055;2060;2065;2070;2075;2080;2085;2090;2095;2100
Philippines;64472925;68775741;76996300;86513198;95812700;104544499;113068996;122027026;131506201;141190043;150253909;158633239;166585987;173079127;179384024;185394053;190979861;196016722;200370177;203952577;207221229;210071804;212443325
Republic of Korea;45280237;45136641;47229463;49081607;50652205;51867425;52853479;53744102;54522772;55202460;55621906;55857442;56084386;58422698;60665625;62817760;64879257;66833336;68631052;70226548;71725701;73088018;74302019
Samoa;169253;159487;161578;167380;177677;193292;210088;226201;240760;253414;264275;275414;285607;296596;307381;317480;326543;334479;341198;346645;351633;355861;359164
Singapore;3186021;3486359;4059579;4464768;4730647;4916682;5066102;5211077;5298758;5284027;5226237;5162227;5121699;5351394;5570584;5773686;5962608;6142022;6313137;6471307;6618766;6748231;6860672
Solomon Islands;336523;379634;457810;551526;658475;780050;915822;1064345;1222527;1383356;1533939;1676130;1825992;1895409;1961759;2023440;2078884;2127115;2167016;2197790;2225192;2247946;2265737
Thailand;57814390;59020529;63645734;68295421;72668811;76820341;80754437;84547495;88172355;91584331;94510660;97060834;99345505;103355345;107234018;110975422;114531229;117825062;120767684;123293397;125613693;127693002;129488403
Vanuatu;157851;173427;200892;232618;267541;305763;345690;386112;426348;465217;503475;542872;581627;604120;626002;646649;665294;681640;695529;706750;716933;725619;732470
Cambodia;9474037;11606974;13679006;16069253;18609105;21318611;24179438;27356201;30645402;34180611;37967529;42002765;46289236;48474339;50666115;52911527;55054906;57104391;59057316;60845255;62598444;64268862;65826473
China;1136578968;1240726574;1313106779;1384564195;1451884365;1520329244;1588248927;1658197865;1731392058;1808432880;1878811707;1944840889;2010836925;2091260503;2177597718;2267626126;2358966631;2450948652;2542508073;2631121161;2719628571;2806016393;2888415241
China, Hong Kong SAR;5612034;6308193;7042892;7538958;8003758;8443236;8880754;9372663;9925952;10507044;11029114;11544645;12109306;12628738;13142263;13637202;14167489;14731829;15290591;15836607;16394256;16945946;17484450
China, Macao SAR;366122;422964;455719;482773;505502;526783;548709;570489;589755;606404;619236;632428;649921;677169;703610;730308;758653;789085;820270;851139;883130;914214;943731
