,data [km³/y]
ATG,0
DZA,45.56041888
AZE,8.474602685
ALB,21.14379748
ARM,4.519000899
AGO,343.5057753
ASM,0
ARG,500.4904771
AUS,1034.232583
BHR,0
BRB,0
BMU,0
BHS,1.232965903
BGD,162.7471747
BLZ,12.53522272
BIH,32.64191491
BOL,370.0502738
MMR,875.9887607
BEN,30.86294625
SLB,20.68478196
BRA,5892.710774
BGR,21.3811684
BRN,4.991163408
CAN,3469.009156
KHM,144.1632288
LKA,54.15263166
COG,158.1906365
COD,728.9213788
BDI,7.969020514
CHN,2267.490164
AFG,115.0678278
BTN,43.4251033
CHL,562.9105124
CYM,0
CMR,304.9203483
TCD,119.6319579
COM,4.308432571
COL,1762.503694
CRI,104.4557557
CAF,226.939366
CUB,39.74604554
CPV,0
COK,0
CYP,2.621637345
DNK,24.80458813
DJI,1.734612892
DMA,0
DOM,9.547751868
ECU,240.6671759
EGY,2.026014158
IRL,56.85045318
GNQ,50.55358376
EST,16.10860099
ERI,28.73623746
SLV,14.18118535
ETH,335.0217867
AUT,45.34628553
CZE,16.90900998
GUF,74.44186441
FIN,106.8452248
FJI,14.64129159
FLK,1.76716121
FSM,0
PYF,1.910376549
FRA,216.6778768
GMB,0.56615837
GAB,369.0771166
GEO,48.09843487
GHA,48.02999169
GRD,0
GRL,487.5920269
DEU,122.3565838
GUM,0
GRC,62.46415028
GTM,107.8261863
GIN,194.0408049
GUY,158.8137529
HTI,16.7169198
HND,76.7048947
HRV,23.27002634
HUN,11.16367268
ISL,98.09614832
IND,2038.88129
IRN,204.7706099
ISR,2.677647986
ITA,138.1905701
CIV,127.4934199
IRQ,43.24985475
JPN,406.7297603
JAM,4.558342766
JOR,3.216106321
KEN,69.61866575
KGZ,42.52432153
PRK,62.6679663
KIR,2.129282255
KOR,71.36354493
KWT,1.314502959
KAZ,133.816158
LAO,143.5089929
LBN,5.534561503
LVA,26.04472756
BLR,45.04146879
LTU,23.13558059
LBR,159.7218058
SVK,10.21820845
LIE,0
LBY,38.63366577
MDG,431.1271094
MTQ,0
MNG,48.91071674
MSR,0
MKD,8.933627646
MLI,26.28135174
MAR,35.08879569
MUS,0
MRT,26.20953662
MLT,0
OMN,12.46879713
MDV,0
MEX,467.3688812
MYS,494.0641118
MOZ,289.3232326
MWI,39.98307997
NCL,7.919821198
NIU,0
NER,38.10697082
ABW,0
AIA,0
BEL,14.12653732
HKG,0
MNP,0
FRO,0
AND,0
GIB,0
IMN,0
LUX,0.578193659
MAC,0
MCO,0
PSE,1.679729933
MNE,17.06679511
MYT,0
ALA,0.440270629
NFK,0
CCK,0
ATA,0
BVT,0
ATF,2.987814528
HMD,0
IOT,0
CXR,0
UMI,0
VUT,10.721439
NGA,385.5741753
NLD,14.11625833
NOR,298.9800916
NPL,167.769175
NRU,0
SUR,76.79100076
NIC,130.2603135
NZL,282.4381964
PRY,102.7579872
PER,770.9425133
PAK,109.6751109
POL,79.00267189
PAN,73.21609574
PRT,34.08177359
PNG,671.8304759
GNB,19.62519463
QAT,0.160095795
REU,0
ROU,35.92771365
MDA,3.898499979
PHL,363.0236551
PRI,3.904721489
RUS,4619.810013
RWA,4.681217449
SAU,88.31211037
KNA,0
SYC,0
ZAF,86.92016361
LSO,3.793490929
BWA,4.263407128
SEN,30.99771603
SVN,14.26076411
SLE,135.9059362
SGP,0
SOM,45.1615531
ESP,112.8488703
LCA,0
SDN,140.5173285
SWE,184.2674617
SYR,21.63801048
CHE,32.8250396
TTO,1.790093039
THA,233.5111175
TJK,47.28351051
TKL,0
TON,0
TGO,16.16919615
STP,0
TUN,11.44189559
TUR,237.2241315
TUV,0
TKM,36.40702017
TZA,209.1688934
UGA,104.3429001
GBR,162.4954181
UKR,89.9546182
USA,2816.896608
BFA,35.73070886
URY,90.63462776
UZB,37.02706473
VCT,0.812032491
VEN,635.1530632
VGB,0
VNM,320.0758828
VIR,1.920959168
NAM,26.15777496
WLF,0
WSM,4.728909515
SWZ,3.086710486
YEM,40.7801551
ZMB,129.5418221
ZWE,42.71631401
IDN,2285.67298
GLP,0.916163023
ANT,0
ARE,2.182855625
TLS,2.074003945
PCN,0
PLW,0
MHL,0
SPM,0
SHN,0
SMR,0
TCA,0
ESH,1.55666295
SRB,17.85035669
VAT,0
SJM,22.93987941
MAF,0
BLM,0
GGY,0
JEY,0
SGS,8.435361589
TWN,42.1453825
