,data [km³/y]
ATG,0
DZA,109.8169614
AZE,11.59463821
ALB,16.82296871
ARM,5.830964772
AGO,372.9797493
ASM,0
ARG,454.0371372
AUS,1195.273928
BHR,0
BRB,0
BMU,0
BHS,1.473000055
BGD,170.3018449
BLZ,13.61834202
BIH,24.67984429
BOL,526.6114002
MMR,875.7245821
BEN,39.98175125
SLB,30.62634266
BRA,6447.128927
BGR,15.78978071
BRN,5.588350886
CAN,3100.06837
KHM,149.9264796
LKA,50.09363547
COG,253.2782624
COD,1006.889685
BDI,7.054629145
CHN,2127.184249
AFG,113.7185535
BTN,38.04484578
CHL,516.2207499
CYM,0
CMR,351.578159
TCD,147.3881323
COM,4.684424911
COL,1877.319359
CRI,112.0054541
CAF,287.3765407
CUB,38.25568982
CPV,0
COK,0
CYP,2.421642509
DNK,24.30751822
DJI,1.944616977
DMA,0
DOM,8.681005809
ECU,169.5080972
EGY,14.75217275
IRL,55.90330412
GNQ,62.21195474
EST,14.43951554
ERI,14.47750371
SLV,14.45876373
ETH,391.9473341
AUT,40.04995996
CZE,13.38640627
GUF,68.00981558
FIN,103.9248411
FJI,13.06839184
FLK,1.752419342
FSM,0
PYF,1.493625797
FRA,192.5259714
GMB,0.859160081
GAB,483.706518
GEO,46.54731778
GHA,64.19862409
GRD,0
GRL,426.8773609
DEU,107.4101813
GUM,0
GRC,49.47028496
GTM,114.1854126
GIN,203.6281672
GUY,183.684026
HTI,11.75930123
HND,82.11463678
HRV,18.54260452
HUN,7.049762325
ISL,98.94661373
IND,2031.097743
IRN,233.2347598
ISR,2.337346131
ITA,129.3704421
CIV,152.1902141
IRQ,56.57294047
JPN,421.175722
JAM,5.684136591
JOR,3.141521812
KEN,108.1341856
KGZ,39.58002815
PRK,55.49566074
KIR,1.212017079
KOR,58.12363448
KWT,1.459346374
KAZ,130.0603688
LAO,154.3439085
LBN,4.949489263
LVA,22.72932321
BLR,25.90053986
LTU,18.22669288
LBR,166.3998072
SVK,7.332318732
LIE,0
LBY,64.65443695
MDG,477.6226933
MTQ,0
MNG,48.98206482
MSR,0
MKD,6.423278165
MLI,77.17401041
MAR,42.94376983
MUS,0
MRT,38.41431469
MLT,0
OMN,21.17651163
MDV,0
MEX,636.0676544
MYS,486.0478333
MOZ,411.9085482
MWI,57.17218653
NCL,7.441084523
NIU,0
NER,83.32312687
ABW,0
AIA,0
BEL,13.04249983
HKG,0
MNP,0
FRO,0
AND,0
GIB,0
IMN,0
LUX,0.485278253
MAC,0
MCO,0
PSE,1.541149933
MNE,13.61205961
MYT,0
ALA,0.424301509
NFK,0
CCK,0
ATA,0
BVT,0
ATF,2.844004813
HMD,0
IOT,0
CXR,0
UMI,0
VUT,10.07266837
NGA,485.2948619
NLD,13.16393045
NOR,302.7242209
NPL,154.2271243
NRU,0
SUR,77.87383027
NIC,144.8113352
NZL,248.2640654
PRY,104.6459185
PER,667.1189029
PAK,102.3071174
POL,61.78600936
PAN,85.52378888
PRT,31.83242919
PNG,800.2967213
GNB,24.1164183
QAT,0.21151863
REU,0
ROU,23.17526275
MDA,2.273938252
PHL,408.0581255
PRI,3.21208717
RUS,4252.171459
RWA,4.398577802
SAU,117.7314833
KNA,0
SYC,0
ZAF,109.7593365
LSO,5.576761765
BWA,21.67025402
SEN,36.32040908
SVN,13.15063217
SLE,131.1479134
SGP,0
SOM,96.23153059
ESP,96.51750323
LCA,0
SDN,182.7510424
SWE,175.1054999
SYR,20.28292272
CHE,30.70795281
TTO,1.852080266
THA,237.5352058
TJK,50.65779275
TKL,0
TON,0
TGO,21.7242287
STP,0
TUN,9.386909378
TUR,208.3750089
TUV,0
TKM,39.89734442
TZA,234.5312061
UGA,105.1784988
GBR,162.786492
UKR,57.42329632
USA,2886.631126
BFA,51.5070814
URY,91.14482931
UZB,38.5312281
VCT,1.271752675
VEN,784.7623387
VGB,0
VNM,320.1472125
VIR,1.354314987
NAM,36.27296636
WLF,0
WSM,3.565680443
SWZ,3.666033107
YEM,43.66562773
ZMB,177.0485313
ZWE,78.27808541
IDN,2425.675865
GLP,0.927495178
ANT,0
ARE,2.12929411
TLS,2.714207251
PCN,0
PLW,0
MHL,0
SPM,0
SHN,0
SMR,0
TCA,0
ESH,3.478695249
SRB,10.84236256
VAT,0
SJM,25.01439865
MAF,0
BLM,0
GGY,0
JEY,0
SGS,8.42721927
TWN,43.97831461
