YY	MM	DD	HH	"1"	"2"
routed discharge [mm per subbasi] routing_model
2000	11	21	24	0.48387	0.58342
2000	11	22	24	0.46772	0.56989
2000	11	23	24	0.45313	0.55580
2000	11	24	24	0.67836	0.58730
2000	11	25	24	0.98697	0.76197
2000	11	26	24	1.11498	0.92460
2000	11	27	24	1.02159	0.95108
2000	11	28	24	0.92101	0.92161
2000	11	29	24	0.82186	0.86292
2000	11	30	24	0.73902	0.81015
2000	12	 1	24	0.67324	0.76522
2000	12	 2	24	0.62159	0.72786
2000	12	 3	24	0.57973	0.69641
2000	12	 4	24	0.54585	0.66957
2000	12	 5	24	0.51789	0.64547
2000	12	 6	24	0.49482	0.62401
2000	12	 7	24	0.47499	0.60400
2000	12	 8	24	0.45777	0.58455
2000	12	 9	24	0.44289	0.56740
2000	12	10	24	0.43566	0.55318
2000	12	11	24	0.49529	0.70942
2000	12	12	24	0.57974	0.81442
2000	12	13	24	0.57106	0.77049
2000	12	14	24	0.56992	0.80436
2000	12	15	24	1.12016	1.08531
2000	12	16	24	1.27182	1.09596
2000	12	17	24	1.10831	0.99008
2000	12	18	24	0.97221	0.91101
2000	12	19	24	0.85538	0.85407
2000	12	20	24	0.76164	0.79614
2000	12	21	24	0.68588	0.74565
2000	12	22	24	0.62612	0.70362
2000	12	23	24	0.57750	0.66756
2000	12	24	24	0.53792	0.63577
2000	12	25	24	0.50636	0.61100
2000	12	26	24	0.48038	0.58689
2000	12	27	24	0.45801	0.56571
2000	12	28	24	0.44002	0.54700
2000	12	29	24	0.43185	0.53457
2000	12	30	24	0.45468	0.51953
2000	12	31	24	0.45094	0.50525
2001	 1	 1	24	0.47787	0.49199
2001	 1	 2	24	0.50744	0.47966
2001	 1	 3	24	0.49662	0.46817
2001	 1	 4	24	0.48230	0.46267
2001	 1	 5	24	0.98307	0.52651
2001	 1	 6	24	1.08332	0.79828
2001	 1	 7	24	1.05544	1.05765
2001	 1	 8	24	0.97577	1.05868
2001	 1	 9	24	0.86778	0.96616
