Globalstrahlung [W/m²d] []
YYYY	MM	DD	HH	877	882	720	385	480	227	384	214	385	877
YYYY	MM	DD	HH	4623488.7988	4623101.10891	4621947.43676	4609997.7677	4606797.8645	4623183	4605986	4611169	4610065	4623539
YYYY	MM	DD	HH	5623995.47668	5624003.77103	5629667.1442	5649664.40457	5641616.25068	5667440	5646718	5650845	5648627	5622933
YYYY	MM	DD	HH	RStat1	RStat2	RStat3	RStat4	RStat5	RStat6	RStat7	RStat8	RStat9	RStat10
2000	02	27	24	3502.3849	3030.3	3991.7700	3460.6	9999.0	9999	9999	9999	9999	9999
2000	02	28	24	3418.7330	3083.9	3615.4900	3174.2	9999.0	9999	9999	9999	9999	9999
2000	02	29	24	1245.1129	1259.1	1565.5800	1470.6	9999.0	9999	9999	9999	9999	9999
2000	03	01	24	1442.8920	1344.5	1005.1200	1399.0	9999.0	9999	9999	9999	9999	9999
2000	03	02	24	2052.2890	1824.8	1508.2000	2110.1	9999.0	9999	9999	9999	9999	9999
2000	03	03	24	 919.3629	 851.9	 969.4400	1083.3	9999.0	9999	9999	9999	9999	9999
2000	03	04	24	2265.8580	1979.4	1869.3100	1550.2	9999.0	9999	9999	9999	9999	9999
2000	03	05	24	1899.6650	1662.2	1165.3600	1523.5	9999.0	9999	9999	9999	9999	9999
2000	03	06	24	3448.6460	2887.4	3540.8400	3426.9	9999.0	9999	9999	9999	9999	9999
2000	03	07	24	1396.3570	1155.9	1120.7800	1828.9	9999.0	9999	9999	9999	9999	9999
2000	03	08	24	 511.0648	 406.7	 383.8500	 533.0	9999.0	9999	9999	9999	9999	9999
2000	03	09	24	 402.7580	 348.2	 440.5400	 748.3	9999.0	9999	9999	9999	9999	9999
2000	03	10	24	2195.2240	1754.6	1437.8000	1952.9	9999.0	9999	9999	9999	9999	9999
2000	03	11	24	1245.6689	 905.2	 750.6700	1369.6	9999.0	9999	9999	9999	9999	9999
2000	03	12	24	 958.1429	 762.6	 693.1200	 595.6	9999.0	9999	9999	9999	9999	9999
2000	03	13	24	1398.0188	1262.1	1602.9700	9999.0	9999.0	9999	9999	9999	9999	9999
2000	03	14	24	 734.6040	 565.2	 791.0300	9999.0	9999.0	9999	9999	9999	9999	9999
2000	03	15	24	2235.6639	1963.4	1990.7800	9999.0	9999.0	9999	9999	9999	9999	9999
2000	03	16	24	1831.5209	1631.1	 800.0400	 974.5	9999.0	9999	9999	9999	9999	9999
2000	03	17	24	2152.5649	1970.8	 802.8600	1231.2	9999.0	9999	9999	9999	9999	9999
2000	03	18	24	4031.4570	3894.6	2467.7300	4510.5	9999.0	9999	9999	9999	9999	9999
2000	03	19	24	1712.9669	1563.8	 751.5500	1578.4	9999.0	9999	9999	9999	9999	9999
2000	03	20	24	2458.6490	2358.5	2348.8400	1688.6	9999.0	9999	9999	9999	9999	9999
2000	03	21	24	3667.7570	3285.8	2018.3600	 954.5	9999.0	9999	9999	9999	9999	9999
2000	03	22	24	4853.3149	4658.4	5001.7800	9999.0	9999.0	9999	9999	9999	9999	9999
2000	03	23	24	4623.9589	4457.4	4533.1500	9999.0	9999.0	9999	9999	9999	9999	9999
2000	03	24	24	1324.3359	1313.9	1315.2400	1006.3	9999.0	9999	9999	9999	9999	9999
2000	03	25	24	1826.8130	1647.1	1605.4100	1654.3	9999.0	9999	9999	9999	9999	9999
2000	03	26	24	3472.4718	3310.8	3896.0200	3184.5	9999.0	9999	9999	9999	9999	9999
2000	03	27	24	1250.9309	 939.0	 439.4600	 471.5	9999.0	9999	9999	9999	9999	9999
2000	03	28	24	2112.1220	1690.9	 449.2000	 626.3	9999.0	9999	9999	9999	9999	9999
2000	03	29	24	2583.5769	2358.3	1289.9200	 965.1	9999.0	9999	9999	9999	9999	9999
2000	03	30	24	 773.3839	 647.7	 545.1000	 507.8	9999.0	9999	9999	9999	9999	9999
2000	03	31	24	1457.0170	1124.2	 996.9000	1190.1	9999.0	9999	9999	9999	9999	9999
2000	04	01	24	1737.8968	1636.9	2035.0300	2117.3	9999.0	9999	9999	9999	9999	9999
2000	04	02	24	9999.0000	4591.0	4167.6600	4048.6	9999.0	9999	9999	9999	9999	9999
2000	04	03	24	9999.0000	5121.1	5610.6700	5684.3	9999.0	9999	9999	9999	9999	9999
2000	04	04	24	9999.0000	2711.7	2972.1900	2672.0	9999.0	9999	9999	9999	9999	9999
2000	04	05	24	9999.0000	2109.4	1876.8300	1293.4	9999.0	9999	9999	9999	9999	9999
2000	04	06	24	9999.0000	5196.1	5649.2600	6047.7	9999.0	9999	9999	9999	9999	9999
2000	04	07	24	9999.0000	3442.2	3281.9500	2794.7	9999.0	9999	9999	9999	9999	9999
2000	04	08	24	9999.0000	3096.6	3308.5500	3315.3	9999.0	9999	9999	9999	9999	9999
2000	04	09	24	9999.0000	2838.5	3254.6400	3184.9	9999.0	9999	9999	9999	9999	9999
2000	04	10	24	9999.0000	2844.4	3115.8000	3985.4	9999.0	9999	9999	9999	9999	9999
2000	04	11	24	9999.0000	4200.0	3781.5900	3794.9	9999.0	9999	9999	9999	9999	9999
2000	04	12	24	9999.0000	1517.8	2123.0000	1722.2	9999.0	9999	9999	9999	9999	9999
2000	04	13	24	9999.0000	3200.8	3763.8000	3818.0	9999.0	9999	9999	9999	9999	9999
2000	04	14	24	9999.0000	1562.8	1874.3000	1890.1	9999.0	9999	9999	9999	9999	9999
2000	04	15	24	9999.0000	4849.7	5336.6000	5379.4	9999.0	9999	9999	9999	9999	9999
2000	04	16	24	9999.0000	5753.9	6529.7000	6469.0	9999.0	9999	9999	9999	9999	9999
2000	04	17	24	9999.0000	4798.8	5346.0000	5036.8	9999.0	9999	9999	9999	9999	9999
2000	04	18	24	9999.0000	2670.0	3474.0000	3718.9	9999.0	9999	9999	9999	9999	9999
2000	04	19	24	9999.0000	4653.2	5131.0200	3898.7	9999.0	9999	9999	9999	9999	9999
2000	04	20	24	9999.0000	5915.9	6253.8000	6095.5	9999.0	9999	9999	9999	9999	9999
2000	04	21	24	9999.0000	5651.4	5822.1000	5451.3	9999.0	9999	9999	9999	9999	9999
2000	04	22	24	9999.0000	5999.7	6338.5100	6125.2	9999.0	9999	9999	9999	9999	9999
2000	04	23	24	9999.0000	6302.1	6662.4500	6498.2	9999.0	9999	9999	9999	9999	9999
2000	04	24	24	9999.0000	3692.9	3926.0700	2743.3	9999.0	9999	9999	9999	9999	9999
2000	04	25	24	9999.0000	2765.2	2695.9100	3777.4	9999.0	9999	9999	9999	9999	9999
2000	04	26	24	9999.0000	6505.0	7107.3300	6927.4	9999.0	9999	9999	9999	9999	9999
2000	04	27	24	9999.0000	5583.7	6073.6900	5830.0	9999.0	9999	9999	9999	9999	9999
2000	04	28	24	9999.0000	5138.7	5320.2700	4374.0	9999.0	9999	9999	9999	9999	9999
2000	04	29	24	9999.0000	4317.5	4844.9600	5814.1	9999.0	9999	9999	9999	9999	9999
2000	04	30	24	9999.0000	6292.2	6530.8000	6440.6	9999.0	9999	9999	9999	9999	9999
2000	05	01	24	4059.7107	4229.0	4845.5300	5165.9	9999.0	9999	9999	9999	9999	9999
2000	05	02	24	5595.9520	5907.0	6981.1200	7035.1	9999.0	9999	9999	9999	9999	9999
2000	05	03	24	7177.8999	7118.5	7561.3600	7454.1	9999.0	9999	9999	9999	9999	9999
2000	05	04	24	6175.9899	6065.1	6225.7600	7140.5	9999.0	9999	9999	9999	9999	9999
2000	05	05	24	6625.5620	6490.8	7286.3500	6673.2	9999.0	9999	9999	9999	9999	9999
2000	05	06	24	7010.8680	6955.4	7361.4600	7203.7	9999.0	9999	9999	9999	9999	9999
2000	05	07	24	7082.8880	7064.5	7428.0300	7455.3	9999.0	9999	9999	9999	9999	9999
2000	05	08	24	4341.4190	4363.2	5095.6100	4346.9	9999.0	9999	9999	9999	9999	9999
2000	05	09	24	3661.6609	3671.6	4401.3400	5999.8	9999.0	9999	9999	9999	9999	9999
2000	05	10	24	4978.2420	5121.5	5721.0700	6901.9	9999.0	9999	9999	9999	9999	9999
2000	05	11	24	6221.1410	6360.3	6276.7200	6872.7	9999.0	9999	9999	9999	9999	9999
2000	05	12	24	7533.0150	7505.2	7919.6800	7762.7	9999.0	9999	9999	9999	9999	9999
2000	05	13	24	7663.2050	7654.5	8144.5900	8076.4	9999.0	9999	9999	9999	9999	9999
2000	05	14	24	7677.6070	7709.5	8167.3400	8039.2	9999.0	9999	9999	9999	9999	9999
2000	05	15	24	7629.6870	7688.7	8110.7000	7990.7	9999.0	9999	9999	9999	9999	9999
2000	05	16	24	7416.3950	7553.1	7371.2000	7083.5	9999.0	9999	9999	9999	9999	9999
2000	05	17	24	4912.0390	4702.0	4406.1000	4855.7	9999.0	9999	9999	9999	9999	9999
2000	05	18	24	2437.3229	2232.2	2587.6100	2506.6	9999.0	9999	9999	9999	9999	9999
2000	05	19	24	3614.2929	3244.4	3460.0600	3470.7	9999.0	9999	9999	9999	9999	9999
2000	05	20	24	3254.7489	2988.8	3144.6700	3163.6	9999.0	9999	9999	9999	9999	9999
2000	05	21	24	4012.8969	3748.8	4714.4000	5119.5	9999.0	9999	9999	9999	9999	9999
2000	05	22	24	1901.3268	1616.1	2101.8700	1460.6	9999.0	9999	9999	9999	9999	9999
2000	05	23	24	4105.9690	3942.0	4151.4000	5102.6	9999.0	9999	9999	9999	9999	9999
2000	05	24	24	4489.8900	4287.3	4090.9000	4961.8	9999.0	9999	9999	9999	9999	9999
2000	05	25	24	5038.3489	5092.2	5401.0500	4549.9	9999.0	9999	9999	9999	9999	9999
2000	05	26	24	6579.0239	6894.2	7124.1000	7399.8	9999.0	9999	9999	9999	9999	9999
2000	05	27	24	3250.3170	3208.7	3259.7300	3023.0	9999.0	9999	9999	9999	9999	9999
2000	05	28	24	4687.1149	4704.2	4897.2300	4188.0	9999.0	9999	9999	9999	9999	9999
2000	05	29	24	6140.8120	6042.2	6239.5200	5518.5	9999.0	9999	9999	9999	9999	9999
2000	05	30	24	5193.1959	5058.2	5886.3400	5532.9	9999.0	9999	9999	9999	9999	9999
2000	05	31	24	3170.5408	2437.3	2670.0600	3213.2	9999.0	9999	9999	9999	9999	9999
2000	06	01	24	7026.3810	6998.2	7312.7600	7055.1	9999.0	9999	9999	9999	9999	9999
2000	06	02	24	7414.7349	7469.6	8154.5400	7750.1	9999.0	9999	9999	9999	9999	9999
2000	06	03	24	6513.1009	6069.5	7039.4000	7285.5	9999.0	9999	9999	9999	9999	9999
2000	06	04	24	5211.4759	5482.2	5829.9100	7607.4	9999.0	9999	9999	9999	9999	9999
2000	06	05	24	6483.7370	6410.2	7183.5800	4658.2	9999.0	9999	9999	9999	9999	9999
