Windgeschwindigkeit[m/s]
2000 03 26 24	2.42	1.592	9999	1.68	3.467	9999
2000 03 27 24	1.91	0.58	9999	1.534	3.175	9999
2000 03 28 24	1.908	0.394	9999	1.241	2.542	9999
2000 03 29 24	3.225	0.776	9999	2.793	5.708	9999
2000 03 30 24	3.103	9999	9999	3.058	5.792	9999
2000 03 31 24	3.248	9999	9999	2.424	4.167	9999
2000 04 01 24	1.783	9999	9999	0.967	2.296	9999
2000 04 02 24	1.682	9999	9999	1.154	2.833	9999
2000 04 03 24	4.435	9999	9999	2.027	5.475	9999
2000 04 04 24	3.261	9999	9999	1.958	4.242	9999
2000 04 05 24	3.366	9999	9999	2.175	5.204	9999
2000 04 06 24	4.657	9999	9999	2.802	4.721	9999
2000 04 07 24	4.225	9999	9999	2.658	4.558	9999
2000 04 08 24	2.177	9999	9999	1.516	2.579	9999
2000 04 09 24	1.682	9999	9999	1.759	2.829	9999
2000 04 10 24	2.066	9999	9999	1.523	2.817	9999
2000 04 11 24	1.612	9999	9999	0.84	1.95	9999
2000 04 12 24	3.34	9999	9999	2.125	4.867	9999
2000 04 13 24	4.327	9999	9999	2.973	6.433	9999
2000 04 14 24	3.083	9999	9999	1.69	3.658	9999
2000 04 15 24	2.905	9999	9999	1.853	4.963	9999
2000 04 16 24	3.313	9999	9999	2.294	4.917	9999
2000 04 17 24	3.228	9999	9999	1.983	5.417	9999
2000 04 18 24	2.316	9999	9999	1.043	2.042	9999
2000 04 19 24	2.98	9999	9999	1.56	2.608	9999
2000 04 20 24	1.899	9999	9999	1.375	1.975	9999
2000 04 21 24	1.951	9999	9999	1.058	2.621	9999
2000 04 22 24	2.255	9999	9999	1.523	3.742	9999
2000 04 23 24	3.145	9999	9999	1.64	5.229	9999
2000 04 24 24	3.768	9999	9999	2.351	5.346	9999
2000 04 25 24	2.486	9999	9999	1.724	2.904	9999
2000 04 26 24	2.852	1.773	9999	1.28	3.383	9999
2000 04 27 24	3.983	3.296	9999	2.198	5.042	9999
2000 04 28 24	6.81	5.684	9999	4.215	8.042	9999
2000 04 29 24	3.404	3.312	9999	2.727	5.883	9999
2000 04 30 24	2.065	2.348	9999	1.489	3.567	9999
2000 05 01 24	1.543	0.916	9999	0.958	2.146	9999
2000 05 02 24	2.34	1.487	9999	2.261	4.996	9999
2000 05 03 24	2.23	1.472	9999	1.379	3.804	9999
2000 05 04 24	1.411	1.008	9999	1.232	2.529	9999
2000 05 05 24	1.469	1.304	2.116	1.253	2.783	9999
2000 05 06 24	1.876	1.856	2.556	1.835	3.921	9999
2000 05 07 24	2.3	2.253	2.424	1.721	4.55	9999
2000 05 08 24	1.829	1.647	2.179	1.288	3.096	9999
2000 05 09 24	0.999	0.804	1.704	0.933	1.904	9999
2000 05 10 24	0.836	0.954	1.953	1.126	1.913	9999
2000 05 11 24	1.247	0.893	1.954	1.226	2.571	9999
2000 05 12 24	2.455	1.426	2.906	2.427	4.938	9999
2000 05 13 24	1.708	1.388	2.13	1.825	3.733	9999
2000 05 14 24	1.265	1.083	1.858	1.562	2.688	9999
2000 05 15 24	1.207	1.47	2.22	1.29	3.292	9999
2000 05 16 24	1.394	1.938	2.237	1.26	2.858	9999
2000 05 17 24	1.222	1.252	2.773	1.228	3.546	9999
2000 05 18 24	1.147	0.631	2.126	1.276	2.546	9999
2000 05 19 24	1.756	1.151	2.562	1.677	2.987	9999
2000 05 20 24	2.22	1.416	2.976	2.317	4.746	9999
2000 05 21 24	1.453	1.056	2.082	1.407	2.562	9999
2000 05 22 24	2.279	1.503	2.355	2.235	3.842	9999
2000 05 23 24	1.099	1.124	1.841	1.294	2.596	9999
2000 05 24 24	0.928	1.067	1.24	1.222	2.829	9999
2000 05 25 24	2.08	2.095	0	2.344	5.408	9999
2000 05 26 24	1.76	1.872	1.436	1.614	3.388	9999
2000 05 27 24	1.958	1.902	2.85	2.068	4.537	9999
2000 05 28 24	1.952	2.234	3.041	1.881	4.779	9999
2000 05 29 24	2.873	1.603	3.113	2.831	5.533	9999
2000 05 30 24	1.497	1.029	2.332	1.608	3.254	9999
2000 05 31 24	1.323	0.901	2	1.346	2.858	9999
2000 06 01 24	0.948	1.597	3.233	1.571	3.987	9999
2000 06 02 24	1.276	1.743	3.486	1.469	4.271	9999
2000 06 03 24	1.078	1.351	2.427	1.118	2.413	9999
2000 06 04 24	1.039	1.153	1.865	1.383	3.079	9999
2000 06 05 24	1.105	1.176	1.71	1.125	3.096	9999
2000 06 06 24	2.028	1.381	2.236	1.948	4.892	9999
2000 06 07 24	2.583	1.546	2.4	2.304	4.604	9999
2000 06 08 24	0.985	0.951	1.814	1.083	2.288	9999
2000 06 09 24	1.851	2.405	2.687	1.665	4.617	9999
2000 06 10 24	2.341	2.074	2.576	1.471	4.7	9999
2000 06 11 24	1.382	1.225	1.923	1.452	3.317	9999
2000 06 12 24	1.262	1.14	1.745	1.648	3.171	9999
2000 06 13 24	0.863	1.054	2.055	1.03	2.446	9999
2000 06 14 24	0.847	0.86	1.588	9999	2.021	9999
2000 06 15 24	1.601	1.441	2.065	9999	4.325	9999
2000 06 16 24	1.383	1.683	1.923	9999	5.433	9999
2000 06 17 24	0.917	1.208	2.139	9999	3.337	9999
2000 06 18 24	0.914	1.065	2.191	9999	2.921	9999
2000 06 19 24	0.932	0.982	2.405	9999	2.696	9999
2000 06 20 24	1.198	1.671	2.927	9999	2.896	9999
2000 06 21 24	0.771	1.157	2.609	9999	3.062	9999
2000 06 22 24	1.465	1.292	2.477	9999	3.779	9999
2000 06 23 24	1.228	0.937	2.27	9999	3.167	9999
2000 06 24 24	1.442	1.385	2.822	9999	4.108	9999
2000 06 25 24	1.818	1.362	2.084	9999	4.567	9999
2000 06 26 24	1.878	1.525	1.629	9999	5.55	9999
2000 06 27 24	1.999	1.679	1.713	9999	5.858	9999
2000 06 28 24	1.061	1.261	1.719	9999	4.008	9999
2000 06 29 24	1.179	1.162	1.732	9999	4.321	9999
2000 06 30 24	1.703	1.323	2.097	9999	4.033	9999
2000 07 01 24	1.822	1.256	2.57	9999	3.913	9999
2000 07 02 24	0.98	0.965	2.163	9999	2.608	9999
2000 07 03 24	1.326	1.301	1.858	9999	2.371	9999
2000 07 04 24	1.338	1.14	2.618	9999	3.342	9999
2000 07 05 24	9999	1.956	3.609	9999	6.263	9999
2000 07 06 24	9999	1.476	1.961	9999	4.046	9999
2000 07 07 24	9999	0.703	1.642	9999	2.683	9999
2000 07 08 24	9999	1.325	2.633	9999	4.308	9999
2000 07 09 24	9999	1.379	3.086	9999	4.279	9999
2000 07 10 24	9999	2.253	3.952	9999	5.263	9999
2000 07 11 24	9999	1.515	2.814	9999	3.767	9999
2000 07 12 24	9999	1.587	1.808	9999	5.388	9999
2000 07 13 24	9999	1.462	2.899	9999	5.188	9999
2000 07 14 24	9999	1.169	2.818	9999	3.425	9999
2000 07 15 24	9999	0.994	1.881	9999	3.013	9999
2000 07 16 24	9999	1.032	2.351	9999	2.717	9999
2000 07 17 24	9999	1.133	1.902	9999	3.371	9999
2000 07 18 24	1.746	1.251	1.718	9999	3.808	9999
2000 07 19 24	2.265	1.608	2.075	9999	5.275	9999
2000 07 20 24	1.902	1.629	1.873	9999	4.763	9999
2000 07 21 24	1.559	1.356	1.943	9999	4.358	9999
2000 07 22 24	1.428	1.074	2.583	9999	3.112	9999
2000 07 23 24	0.912	0.676	1.783	9999	2.163	9999
2000 07 24 24	1.168	1.255	1.821	0.908	2.646	9999
2000 07 25 24	1.855	1.389	3.142	2.154	4.333	9999
2000 07 26 24	1.564	1.069	2.445	1.842	3.808	9999
2000 07 27 24	1.313	1.17	1.936	1.981	3.65	9999
2000 07 28 24	1.83	1.571	2.531	2.538	4.833	9999
2000 07 29 24	2.15	2.007	1.789	3.01	5.7	9999
2000 07 30 24	1.093	1.226	1.896	1.875	3.675	9999
2000 07 31 24	0.986	1.076	2.179	1.703	3.204	9999
2000 08 01 24	0.705	0.924	2.074	1.115	2.7	9999
2000 08 02 24	1.728	1.904	3.598	1.798	4.737	9999
2000 08 03 24	0.938	0.837	2.219	9999	2.1	9999
2000 08 04 24	0.97	0.917	2.243	9999	2.904	9999
2000 08 05 24	1.387	1	2.011	9999	2.163	9999
2000 08 06 24	1.173	0.894	2.059	9999	2.583	9999
2000 08 07 24	0.946	1	1.88	9999	3.513	9999
2000 08 08 24	1.072	0.815	1.764	9999	2.546	9999
2000 08 09 24	1.258	1.105	1.455	9999	3.508	9999
2000 08 10 24	0.965	1.243	2.992	9999	3.087	9999
2000 08 11 24	1.093	1.024	1.784	9999	2.592	9999
2000 08 12 24	0.8	0.629	1.742	9999	2.371	9999
2000 08 13 24	0.641	0.794	2.232	9999	2.542	9999
2000 08 14 24	0.899	0.991	2.275	9999	2.688	9999
2000 08 15 24	1.106	1.167	3.105	9999	2.933	9999
2000 08 16 24	1.481	1.214	2.01	9999	3.317	9999
2000 08 17 24	1.292	1.633	2.751	9999	3.513	9999
2000 08 18 24	0.939	1.005	2.057	9999	2.379	9999
2000 08 19 24	1.405	1.697	2.62	9999	3.462	9999
2000 08 20 24	1.427	1.331	2.308	9999	3.333	9999
2000 08 21 24	1.953	1.421	2.558	9999	4.338	9999
2000 08 22 24	0.82	0.768	1.613	1.022	2.413	9999
2000 08 23 24	0.779	0.846	2.221	1.159	2.483	9999
2000 08 24 24	1.001	1.087	1.769	1.385	3.592	9999
2000 08 25 24	1.019	1.39	1.911	1.974	4.142	9999
2000 08 26 24	1.85	2.333	2.882	1.802	4.758	9999
2000 08 27 24	3.014	3.586	3.488	2.34	5.333	9999
2000 08 28 24	0.834	0.951	2.467	0.969	2.362	9999
2000 08 29 24	0.464	0.672	2.335	0.878	2.504	9999
2000 08 30 24	0.845	0.57	1.807	0.99	2.354	9999
2000 08 31 24	1.3	0.768	1.766	1.225	3.246	9999
2000 09 01 24	0.766	0.916	1.911	0.947	2.125	9999
2000 09 02 24	2.436	1.723	3.828	2.704	6.296	9999
2000 09 03 24	3.316	2.182	2.988	3.785	7.217	9999
2000 09 04 24	1.31	1.546	1.78	2.46	4.075	9999
2000 09 05 24	1.243	1.044	2.232	1.688	3.246	9999
2000 09 06 24	1.095	1.286	3.092	1.393	3.6	9999
2000 09 07 24	1.189	0.995	2.342	1.551	2.654	9999
2000 09 08 24	1.305	1.037	3.21	1.39	3.383	9999
2000 09 09 24	0.88	0.851	2.236	0.825	2.475	9999
2000 09 10 24	0.886	0.661	1.467	0.921	1.788	9999
2000 09 11 24	0.765	0.529	1.744	0.899	2.688	9999
2000 09 12 24	0.99	1.286	2.067	0.885	2.896	9999
2000 09 13 24	1.454	1.265	2.255	1.504	3.646	9999
2000 09 14 24	1.285	0.795	1.673	1.392	2.396	9999
2000 09 15 24	0.95	1.245	1.92	1.031	4.304	9999
2000 09 16 24	2.143	2.272	2.689	2.196	5.183	9999
2000 09 17 24	0.695	0.569	1.605	0.804	1.975	9999
2000 09 18 24	0.822	0.616	1.726	1.102	4.05	9999
2000 09 19 24	1.781	1.374	2.057	1.302	4.879	9999
2000 09 20 24	2.795	2.625	2.511	2.112	6.771	9999
2000 09 21 24	2.465	1.409	2.422	2.265	5.325	9999
2000 09 22 24	0.746	0.294	1.296	0.955	2.533	9999
2000 09 23 24	1.7	1.088	2.147	1.779	3.938	9999
2000 09 24 24	2.283	2.459	2.481	1.66	4.217	9999
2000 09 25 24	1.669	1.691	2.655	1.328	3.854	9999
2000 09 26 24	1.228	1.158	2.146	0.919	3.475	9999
2000 09 27 24	1.262	1.772	3.325	1.308	4.537	9999
2000 09 28 24	2.13	2.462	3.219	1.524	6.013	9999
2000 09 29 24	4.234	3.835	3.231	2.84	6.925	9999
2000 09 30 24	3.321	3.608	9999	2.567	6.225	9999
2000 10 01 24	2.761	2.921	2.3	1.792	4.862	9999
2000 10 02 24	1.612	1.126	2.48	1.647	3.663	9999
2000 10 03 24	1.114	0.838	2.202	1.283	2.154	9999
2000 10 04 24	1.114	0.897	1.801	0.623	2.292	9999
2000 10 05 24	0.828	0.811	1.715	0.713	1.754	9999
2000 10 06 24	1.012	0.993	2.025	1.483	2.888	9999
2000 10 07 24	0.889	0.835	1.489	1.621	3.229	9999
2000 10 08 24	1.084	0.832	1.445	1.18	2.508	9999
2000 10 09 24	1.365	1.175	2.292	1.218	3.712	9999
2000 10 10 24	2.98	3.117	3.401	2.29	6.117	9999
2000 10 11 24	2.397	2.704	3.447	2.04	4.8	9999
2000 10 12 24	1.426	1.24	1.826	0.84	2.225	9999
2000 10 13 24	1.718	1.234	1.556	0.863	1.613	9999
2000 10 14 24	1.88	0.873	1.489	1.081	2.729	9999
2000 10 15 24	4.115	3.626	2.77	2.669	6.842	9999
2000 10 16 24	3.073	3.146	2.719	2.271	5.312	9999
2000 10 17 24	1.247	0.905	1.92	1.273	2.467	9999
2000 10 18 24	1.263	0.515	1.315	0.512	1.646	9999
2000 10 19 24	1.765	1.323	2.175	0.858	3.558	9999
2000 10 20 24	2.62	2.383	2.593	1.938	5.117	9999
2000 10 21 24	4.954	3.068	3.272	2.898	8.042	9999
2000 10 22 24	2.422	0.898	2.879	1.242	4.829	9999
2000 10 23 24	2.869	1.181	3.09	1.398	5.304	9999
2000 10 24 24	3.137	1.602	3.528	2.702	5.588	9999
2000 10 25 24	3.949	1.991	4.535	3.148	6.054	9999
2000 10 26 24	3.125	1.345	2.666	2.546	4.796	9999
2000 10 27 24	3.171	1.434	3.002	2.469	5.221	9999
2000 10 28 24	2.875	1.85	3.19	1.823	5.004	9999
2000 10 29 24	3.46	2.194	4.368	2.36	6.074	9999
2000 10 30 24	4.565	3.546	5.475	3.144	7.921	9999
2000 10 31 24	3.118	1.941	3.967	1.842	5.371	9999
2000 11 01 24	2.953	1.993	4.071	1.979	5.033	9999
2000 11 02 24	3.643	2.808	3.458	2.425	5.588	9999
2000 11 03 24	3.86	2.845	2.455	2.129	4.9	9999
2000 11 04 24	2.647	1.175	2.443	1.768	3.154	9999
2000 11 05 24	2.465	1.625	2.845	1.334	3.654	9999
2000 11 06 24	5.115	4.056	4.131	3.719	8.183	9999
2000 11 07 24	2.96	2.098	2.77	1.663	3.846	9999
2000 11 08 24	2.867	2.257	3.033	1.717	4.725	9999
2000 11 09 24	2.89	1.839	3.23	1.942	4.517	9999
2000 11 10 24	3.24	1.571	3.306	2.183	5.229	9999
2000 11 11 24	2.682	1.48	3.988	1.865	5.308	9999
2000 11 12 24	3.89	3.368	3.73	2.337	7.942	9999
2000 11 13 24	4.336	3.144	2.89	2.333	7.833	9999
2000 11 14 24	2.036	0.967	1.983	1.102	2.633	9999
2000 11 15 24	2.689	1.424	2.63	1.556	4.229	9999
2000 11 16 24	2.629	1.733	2.511	1.542	3.871	9999
2000 11 17 24	2.009	0.886	1.364	1.067	2.279	9999
2000 11 18 24	2.309	1.366	3.781	2.079	4.667	9999
2000 11 19 24	3.989	3.906	3.216	2.467	6.188	9999
2000 11 20 24	2.593	2.092	2.682	1.565	3.792	9999
2000 11 21 24	2.11	1.28	1.809	1.056	2.608	9999
2000 11 22 24	3.453	2.689	3.597	2.017	5.4	9999
2000 11 23 24	4.224	2.107	2.398	2.148	5.975	9999
2000 11 24 24	3.059	1.473	2.211	1.722	4.429	9999
2000 11 25 24	1.188	0.533	1.301	0.504	1.663	9999
2000 11 26 24	3.413	2.022	2.768	2.033	4.233	9999
2000 11 27 24	3.32	1.384	2.66	2.448	5.004	9999
2000 11 28 24	2.914	2.219	4.01	1.719	5.221	9999
2000 11 29 24	3.013	2.167	3.058	1.604	6.862	9999
2000 11 30 24	2.083	1.222	2.739	1.211	4.642	9999
2000 12 01 24	3.167	1.635	2.411	1.337	6.096	9999
2000 12 02 24	2.489	1.274	2.454	1.497	4.404	9999
2000 12 03 24	2.278	1.249	2.743	1.564	3.917	9999
2000 12 04 24	2.64	1.865	2.841	1.369	4.004	9999
2000 12 05 24	2.965	1.879	3.445	1.6	6.092	9999
2000 12 06 24	3.636	1.726	3.224	2.483	8.221	9999
2000 12 07 24	2.752	2.652	3.711	2.39	8.567	9999
2000 12 08 24	2.906	1.978	3.625	2.219	7.154	9999
2000 12 09 24	2.198	1.542	3.507	1.379	4.133	9999
2000 12 10 24	3.461	2.153	4.394	2.529	5.975	9999
2000 12 11 24	4.801	2.224	4.364	3.648	6.596	9999
2000 12 12 24	4.553	2.058	4.557	3.175	6.638	9999
2000 12 13 24	5.038	2.408	5.674	4.09	7.721	9999
2000 12 14 24	5.158	2.211	5.09	3.76	6.908	9999
2000 12 15 24	5.348	2.18	4.436	4.015	7.879	9999
2000 12 16 24	6.726	2.714	3.703	5.237	9.942	9999
2000 12 17 24	3.148	1.592	2.438	2.948	5.633	9999
2000 12 18 24	1.602	0.92	2.475	1.186	2.642	9999
2000 12 19 24	1.202	0.644	1.188	0.684	1.742	9999
2000 12 20 24	1.95	2.094	1.748	1.061	3.288	9999
2000 12 21 24	3.566	2.037	2.248	1.779	4.779	9999
2000 12 22 24	3.38	1.974	2.534	2.913	6.475	9999
2000 12 23 24	2.277	1.869	2.647	1.279	4.908	9999
2000 12 24 24	3.129	1.633	1.962	1.453	4.046	9999
2000 12 25 24	1.63	0.517	1.039	0.887	1.933	9999
2000 12 26 24	2.078	1.265	1.389	0.935	3.317	9999
2000 12 27 24	2.142	2.048	2.348	1.592	6.454	9999
2000 12 28 24	2.551	1.494	3.131	2.119	4.233	9999
2000 12 29 24	1.989	1.036	2.596	1.246	3.404	9999
2000 12 30 24	2.471	1.207	2.597	1.652	3.246	9999
2000 12 31 24	3.09	1.561	2.044	2.511	5.008	9999
2001 01 01 24	4.092	3.635	3.901	2.523	8.217	9999
2001 01 02 24	2.585	2.83	4.359	2.323	9.088	9999
2001 01 03 24	1.847	1.633	3.851	2.015	5.438	9999
2001 01 04 24	3.155	2.539	3.484	1.796	6.146	9999
2001 01 05 24	3.744	3.253	5.351	2.752	7.013	9999
2001 01 06 24	4.2	2.284	4.435	2.685	5.525	9999
2001 01 07 24	2.143	1.188	2.955	1.14	3.679	9999
2001 01 08 24	1.74	0.853	1.733	1.169	2.192	9999
2001 01 09 24	2.675	1.225	3.299	2.267	4.504	9999
2001 01 10 24	1.269	0.728	2.002	0.776	2.679	9999
2001 01 11 24	1.296	0.819	1.459	1.128	2.225	9999
2001 01 12 24	1.265	0.872	1.774	1.435	1.85	9999
2001 01 13 24	1.565	0.752	1.176	1.102	1.175	9999
2001 01 14 24	1.965	2.091	1.236	1.231	2.062	9999
2001 01 15 24	3.16	2.616	2.545	1.679	3.854	9999
2001 01 16 24	3.599	3.026	2.206	1.723	4.592	9999
2001 01 17 24	3.61	2.317	2.683	2.64	6.862	9999
2001 01 18 24	2.427	1.471	1.778	1.712	4.617	9999
2001 01 19 24	1.516	1.095	1.937	1.347	4.371	9999
2001 01 20 24	1.144	1.194	2.053	1.615	4.862	9999
2001 01 21 24	1.298	1.193	2.07	1.219	4.412	9999
2001 01 22 24	2.103	2.641	3.143	3.023	8.092	9999
2001 01 23 24	2.132	2.818	4.087	2.719	9.858	9999
2001 01 24 24	0.941	3.083	4.254	2.885	9.892	9999
2001 01 25 24	2.866	2.146	3.751	2.015	5.987	9999
2001 01 26 24	2.42	1.57	3.247	1.775	4.454	9999
2001 01 27 24	9999	2.484	4.513	2.763	7.463	9999
2001 01 28 24	9999	1.533	4.618	2.685	6.117	9999
2001 01 29 24	9999	0.9	1.563	1.47	2.783	9999
2001 01 30 24	1.666	0.583	0.991	0.841	1.6	9999
2001 01 31 24	2.136	0.803	1.97	1.544	2.829	9999
2001 02 01 24	2.062	0.805	1.565	1.54	3.225	9999
2001 02 02 24	2.839	0.948	1.741	1.519	3.383	9999
2001 02 03 24	1.698	1.094	1.494	0.992	3.2	9999
2001 02 04 24	2.832	1.182	1.205	1.279	3.129	9999
2001 02 05 24	5.806	2.372	5.672	3.579	6.721	9999
2001 02 06 24	4.823	2.537	5.279	2.771	6.692	9999
2001 02 07 24	3.827	2.416	3.529	1.994	5.967	9999
2001 02 08 24	3.052	2.144	3.506	1.783	6.117	9999
2001 02 09 24	2.873	1.562	2.76	2.125	4.692	9999
2001 02 10 24	1.367	0.485	1.196	1.024	2.525	9999
2001 02 11 24	2.418	1.586	4.3	1.368	4.646	9999
2001 02 12 24	3.311	2.013	3.607	1.837	4.133	9999
2001 02 13 24	3.152	1.005	2.043	1.84	3.346	9999
2001 02 14 24	1.536	1.052	2.067	1.199	2.404	9999
2001 02 15 24	1.35	1.29	2.742	1.035	2.475	9999
2001 02 16 24	1.012	0.619	1.475	0.881	2.508	9999
2001 02 17 24	2.434	1.031	2.147	1.484	3.358	9999
2001 02 18 24	2.946	2.068	2.062	3.296	5.963	9999
2001 02 19 24	9999	9999	1.915	2.921	5.862	9999
2001 02 20 24	9999	1.787	2.237	3.71	7.533	9999
2001 02 21 24	9999	2.67	2.585	5.265	10.496	9999
2001 02 22 24	9999	2.45	2.415	4.421	9.192	9999
2001 02 23 24	9999	1.363	1.676	1.985	3.95	9999
2001 02 24 24	9999	0.973	1.385	1.369	2.933	9999
2001 02 25 24	9999	1.042	3.859	1.149	4.15	9999
2001 02 26 24	9999	1.309	3.104	1.865	4.112	9999
2001 02 27 24	4.606	2.226	3.187	1.562	5.321	9999
2001 02 28 24	5.237	3.954	3.578	2.742	7.821	9999
2001 03 01 24	2.827	1.733	2.979	1.438	4.083	9999
2001 03 02 24	3.071	1.476	2.747	1.998	3.908	9999
2001 03 03 24	2.107	1.038	1.43	0.909	2.038	9999
2001 03 04 24	4.115	1.834	2.4	1.983	3.958	9999
2001 03 05 24	2.864	0.873	1.687	1.564	2.896	9999
2001 03 06 24	2.229	1.745	2.11	1.289	2.904	9999
