Temperatur[°C] []
YYYY	MM	DD	HH	521	227	877	480	882	720	385	385	735	227	384	214	385	877
YYYY	MM	DD	HH	4612200.4733	4626195.17678	4623488.7988	4606797.8645	4623101.10891	4621947.43676	4609997.7676	4609997.7675	4621947.1441	4623183	4605986	4611169	4610065	4623539
YYYY	MM	DD	HH	5634555.9826	5665733.13026	5623995.47668	5641616.25068	5624003.77103	5629667.1442	5649664.40456	5649664.40455	5629667.43675	5667440	5646718	5650845	5648627	5622933
YYYY	MM	DD	HH	TStat1	TStat2	TStat3	TStat4	TStat5	TStat6	TStat7	TStat8	TStat9	TStat10	TStat11	TStat12	TStat13	TStat14
2000	02	03	24	   1.279	9999.000	  -1.075	9999.000	  -0.909	9999.000	   2.492	   2.433	  -0.298	9999	9999	9999	9999	9999
2000	02	04	24	   2.144	9999.000	  -0.165	9999.000	  -0.170	9999.000	   3.171	   3.112	   0.306	9999	9999	9999	9999	9999
2000	02	05	24	   6.056	9999.000	   3.858	9999.000	   4.211	9999.000	   7.497	   7.317	   3.806	9999	9999	9999	9999	9999
2000	02	06	24	   9.098	9999.000	   5.754	9999.000	   7.734	9999.000	  10.546	  10.617	   5.544	9999	9999	9999	9999	9999
2000	02	07	24	   6.100	9999.000	   3.031	9999.000	   3.305	9999.000	   7.466	   7.388	   3.087	9999	9999	9999	9999	9999
2000	02	08	24	   6.467	9999.000	   3.585	9999.000	   3.655	9999.000	   7.861	   7.662	   3.735	9999	9999	9999	9999	9999
2000	02	09	24	   1.669	9999.000	  -0.889	9999.000	  -1.033	9999.000	   3.165	   2.983	  -0.281	9999	9999	9999	9999	9999
2000	02	10	24	   3.156	9999.000	  -0.331	9999.000	  -0.275	9999.000	   4.452	   4.112	   0.140	9999	9999	9999	9999	9999
2000	02	11	24	   1.073	9999.000	  -1.312	9999.000	  -1.562	9999.000	   2.325	   2.292	  -0.424	9999	9999	9999	9999	9999
2000	02	12	24	  -0.677	9999.000	  -3.009	9999.000	  -3.165	9999.000	   1.219	   1.096	  -2.366	9999	9999	9999	9999	9999
2000	02	13	24	   0.833	9999.000	  -1.452	9999.000	  -1.655	9999.000	   1.928	   1.725	  -0.707	9999	9999	9999	9999	9999
2000	02	14	24	  -0.602	9999.000	  -3.137	9999.000	  -3.551	9999.000	   1.012	   0.850	  -2.336	9999	9999	9999	9999	9999
2000	02	15	24	   2.312	9999.000	  -0.372	9999.000	  -0.483	9999.000	   3.632	   3.421	   0.385	9999	9999	9999	9999	9999
2000	02	16	24	   1.146	9999.000	  -1.440	9999.000	  -1.550	9999.000	   2.002	   1.746	  -0.792	9999	9999	9999	9999	9999
2000	02	17	24	  -1.669	9999.000	  -4.366	9999.000	  -4.606	9999.000	  -0.545	  -0.650	  -3.273	9999	9999	9999	9999	9999
2000	02	18	24	  -1.202	9999.000	  -4.478	9999.000	  -4.713	9999.000	  -0.058	  -0.325	  -3.277	9999	9999	9999	9999	9999
2000	02	19	24	   0.615	9999.000	  -1.336	9999.000	  -1.512	9999.000	   1.955	   1.688	  -0.603	9999	9999	9999	9999	9999
2000	02	20	24	  -1.592	9999.000	  -3.628	9999.000	  -3.726	9999.000	  -0.451	  -0.671	  -2.747	9999	9999	9999	9999	9999
2000	02	21	24	  -4.152	9999.000	  -6.462	9999.000	  -6.685	9999.000	  -2.319	  -2.696	  -5.752	9999	9999	9999	9999	9999
2000	02	22	24	  -3.996	9999.000	  -6.230	9999.000	  -6.092	9999.000	  -1.995	  -2.117	  -4.842	9999	9999	9999	9999	9999
2000	02	23	24	  -0.256	9999.000	  -2.578	9999.000	  -2.850	9999.000	   0.786	   0.463	  -1.931	9999	9999	9999	9999	9999
2000	02	24	24	   1.046	9999.000	  -1.140	9999.000	  -1.178	9999.000	   2.325	   2.179	  -0.651	9999	9999	9999	9999	9999
2000	02	25	24	   0.746	9999.000	  -0.599	9999.000	  -0.574	9999.000	   1.152	   0.933	  -0.260	9999	9999	9999	9999	9999
