Feuchte [%]
2000 03 06 24	69.589	69.354	70.208	9999	9999	89.171	90.108	73.929
2000 03 07 24	74.017	76.219	72.375	9999	9999	91.192	89.496	73.85
2000 03 08 24	91.041	90.708	87	9999	9999	99.404	97.979	93.329
2000 03 09 24	95.684	87.937	87.792	9999	9999	99.388	98.254	94.158
2000 03 10 24	83.007	77.937	75.833	9999	9999	95.683	97.688	85.175
2000 03 11 24	93.09	82.458	87.667	9999	9999	98.4	98.254	94.192
2000 03 12 24	86.936	83.26	80	9999	9999	96.946	98.483	92.233
2000 03 13 24	86.717	81.344	84.708	9999	9999	98.283	95.138	88.921
2000 03 14 24	90.202	88.437	88.375	9999	9999	97.867	96.571	93.417
2000 03 15 24	88.689	85.073	84.542	9999	9999	95.4	97.7	89.4
2000 03 16 24	96.294	97.125	90.583	9999	9999	95.987	98.362	96.929
2000 03 17 24	88.915	86.115	84.5	9999	9999	96.05	98.312	91.067
2000 03 18 24	75.715	78.458	71.875	9999	9999	95.588	96.696	76.037
2000 03 19 24	76.906	74.573	76.5	9999	9999	94.292	95.8	80.296
2000 03 20 24	85.887	82.646	84.292	9999	9999	92.742	95.217	87.071
2000 03 21 24	96.667	94.229	96	9999	9999	96.483	98.004	98.392
2000 03 22 24	76.35	80.594	78.708	9999	9999	67.425	69.088	71.783
2000 03 23 24	75.034	81.823	77.5	9999	9999	69.65	66.438	69.917
2000 03 24 24	89.999	89.583	88.292	9999	9999	93.112	86.675	96.175
2000 03 25 24	86.243	78.416	82.565	9999	9999	94.242	90.804	88.892
2000 03 26 24	81.509	80.77	81.792	9999	9999	89.513	83.25	82.396
2000 03 27 24	98.194	96.99	97.417	9999	9999	98.85	98.729	99.721
2000 03 28 24	98.616	96.135	96.375	9999	9999	98.192	99.071	99.362
2000 03 29 24	94.324	87.604	92.583	9999	9999	98.112	99.088	97.787
2000 03 30 24	95.57	95.156	92.583	9999	9999	99.554	99.263	99.417
2000 03 31 24	93.622	88.885	91.208	95	9999	99.446	99.317	96.446
2000 04 01 24	83.195	83.844	78.792	94.042	9999	92.004	91.254	86.704
2000 04 02 24	70.751	74.302	64.333	78.333	9999	74.054	69.112	73.654
2000 04 03 24	65.583	70.448	65	85.875	9999	82.717	75.275	75.958
2000 04 04 24	73.557	73.531	72.75	86.458	9999	83.287	76.329	80.392
2000 04 05 24	91.893	84.531	83.75	90.375	9999	88.429	87.742	84.237
2000 04 06 24	56.871	69.292	59.292	75.125	9999	73.017	70.921	60.667
2000 04 07 24	85.237	87.573	87.25	89.958	9999	91.104	90.175	87.658
2000 04 08 24	77.192	75.552	74.875	79.5	9999	83.233	81.867	78.654
2000 04 09 24	77.311	79.094	80.167	82.958	9999	80.575	78.713	78.367
2000 04 10 24	75.326	83.49	70.5	74.042	9999	73.067	71.454	77.479
2000 04 11 24	80.524	82.156	77.125	84.208	9999	81.504	78.454	82.483
2000 04 12 24	82.672	79.99	81.083	94.667	9999	94.721	89.367	87.237
2000 04 13 24	61.849	64.875	62.167	86	9999	83.713	75.783	64.846
2000 04 14 24	79.715	80.312	76.625	91.042	9999	91.1	86.992	81.079
2000 04 15 24	73.169	78.354	72.583	81.917	9999	81.421	78.108	77.213
2000 04 16 24	58.421	62.51	54.792	62.875	9999	58.242	58.008	58.513
2000 04 17 24	59.887	64.865	59.375	75.25	9999	71.388	64.471	61.388
2000 04 18 24	79.399	79.625	78.917	84.958	9999	85.992	84.596	82.358
2000 04 19 24	81.968	86.906	84.375	83.833	9999	82.175	81.358	86.904
2000 04 20 24	77.006	83.094	75.792	80.917	9999	82.175	81.417	77.838
2000 04 21 24	70.256	80.323	68.875	72.458	9999	71.742	66.321	72.05
2000 04 22 24	63.341	69.052	57.333	57.542	9999	52.462	49.742	59.646
2000 04 23 24	46.133	52.979	44.25	57.375	9999	49.942	43.283	48.525
2000 04 24 24	83.988	82.021	81.625	84.583	9999	80.804	79.025	84.925
2000 04 25 24	86.241	85.365	86.333	94.958	9999	96.217	96.888	90.496
2000 04 26 24	71.549	82.708	71.917	87.083	9999	85.092	77.479	79.629
2000 04 27 24	57.637	70.062	59.167	75.417	9999	73.329	66.35	69.679
2000 04 28 24	54.284	58.167	50.583	71.292	9999	68.654	63.138	58.404
2000 04 29 24	58.673	62	53.708	74.25	9999	71.575	65.571	61.483
2000 04 30 24	59.732	67.24	53.833	65.542	9999	60.654	54.85	61.467
2000 05 01 24	83.989	81.417	73.167	77.417	9999	80.05	81.221	86.029
